"nomPilote";"Genre";"Espece"
"17644";"diankoi mata";"Pouteria";"flavilatex"
"30379";"diankoi mata";"Casearia";"sylvestris"
"47591";"diankoi mata";"Siparuna";"decipiens"
"30271";"diankoi ton";"Casearia";"sylvestris"
"72446";"diapapaie";"Pourouma";"melinonii"
"4854";"dodomisinga";"Parkia";"velutina"
"8343";"dodomisinga";"Parkia";"ulei"
"14806";"dodomisinga";"Parkia";"nitida"
"29341";"dodomisinga";"Parkia";"Indet."
"54400";"dokali";"Brosimum";"rubescens"
"46459";"dokali mapa";"Parahancornia";"fasciculata"
"3697";"encens";"Protium";"opacum"
"5958";"encens";"Trichilia";"schomburgkii"
"10198";"encens";"Indet.";"Indet."
"19479";"encens";"Protium";"giganteum"
"41696";"encens";"Protium";"sagotianum"
"48820";"encens";"Ocotea";"subterminalis"
"57114";"encens";"Protium";"guianense"
"57572";"encens";"Protium";"decandrum"
"58557";"encens";"Thyrsodium";"guianense"
"62659";"encens";"Protium";"plagiocarpium"
"63209";"encens";"Thyrsodium";"puberulum"
"70298";"encens";"Protium";"subserratum"
"71017";"encens";"Protium";"Indet."
"83106";"encens";"Dialium";"guianense"
"42894";"Eperua grandiflora";"Eperua";"grandiflora"
"2843";"funguti koko";"Parinari";"campestris"
"9580";"funguti koko";"Couepia";"bracteosa"
"15353";"funguti koko";"Licania";"micrantha"
"28322";"funguti koko";"Licania";"ovalifolia"
"45873";"funguti koko";"Parinari";"montana"
"54687";"funguti koko";"Parinari";"Indet."
"84583";"funguti koko";"Parinari";"rodolphii"
"481";"gaan moni";"Trattinnickia";"demerarae"
"5097";"gaan moni";"Dacryodes";"nitens"
"11955";"gaan moni";"Thyrsodium";"guianense"
"12976";"gaan moni";"Indet.";"Indet."
"13645";"gaan moni";"Protium";"opacum"
"15269";"gaan moni";"Protium";"Indet."
"19886";"gaan moni";"Protium";"sagotianum"
"21996";"gaan moni";"Protium";"giganteum"
"45172";"gaan moni";"Thyrsodium";"spruceanum"
"57004";"gaan moni";"Trattinnickia";"rhoifolia"
"18598";"gebi udu";"Himatanthus";"articulatus"
"46965";"geli apisi";"Aniba";"taubertiana"
"70402";"geli apisi";"Licaria";"chrysophylla"
"712";"geli koko";"Pogonophora";"schomburgkiana"
"16341";"geli koko";"Abarema";"mataybifolia"
"47840";"geli koko";"Amphirrhox";"longifolia"
"18285";"gonfolo gris";"Qualea";"rosea"
"18354";"gonfolo gris";"Ruizterania";"albiflora"
"197";"gonfolo rose";"Qualea";"rosea"
"853";"goupi";"Goupia";"glabra"
"319";"grignon franc";"Sextonia";"rubra"
"75900";"Hevea";"Hevea";"guianensis"
"29716";"inkatu";"Ficus";"nymphaeifolia"
"67335";"inkatu";"Ficus";"piresiana"
"52442";"kaiman udu";"Laetia";"procera"
"28206";"kakabuku";"Swartzia";"panacoco"
"93939";"kakabuku";"Swartzia";"guianensis"
"29398";"kankan udu";"Theobroma";"subincanum"
"34642";"kankan udu";"Apeiba";"glabra"
"5225";"kasaba udu";"Platymiscium";"pinnatum"
"10173";"kasaba udu";"Tabebuia";"insignis"
"2284";"kimboto";"Pradosia";"cochlearia"
"18451";"kisiki banda";"Eugenia";"Indet."
"169";"koko";"Licania";"alba"
"3005";"koko";"Licania";"licaniiflora"
"8028";"koko";"Licania";"parviflora"
"8493";"koko";"Licania";"canescens"
"9006";"koko";"Poraqueiba";"guianensis"
"9366";"koko";"Couepia";"bracteosa"
"20887";"koko";"Licania";"ovalifolia"
"24181";"koko";"Dendrobangia";"boliviana"
"24577";"koko";"Inga";"rubiginosa"
"29770";"koko";"Licania";"sprucei"
"38440";"koko";"Chaetocarpus";"schomburgkianus"
"44754";"koko";"Couepia";"guianensis"
"48887";"koko";"Quiina";"obovata"
"49246";"koko";"Maytenus";"oblongata"
"51832";"koko";"Hirtella";"glandulosa"
"61611";"koko";"Myrcia";"fallax"
"71691";"koko";"Licania";"heteromorpha"
"72141";"koko";"Hirtella";"bicornis"
"83021";"koko";"Licania";"membranacea"
"85271";"koko";"Hieronyma";"oblonga"
"89703";"koko";"Swartzia";"guianensis"
"97476";"koko";"Licania";"granvillei"
"98847";"koko";"Pouteria";"ambelaniifolia"
"100030";"koko";"Licania";"latistipula"
"6290";"kukuniefu";"Garcinia";"benthamiana"
"12050";"kukuniefu";"Garcinia";"madruno"
"42582";"kukuniefu";"Garcinia";"Indet."
"71298";"kukuniefu";"Platonia";"insignis"
"9836";"kumanti udu";"Aspidosperma";"desmanthum"
"29558";"kumanti udu";"Aspidosperma";"spruceanum"
"38708";"kumanti udu";"Agonandra";"silvatica"
"55713";"kumanti udu";"Enterolobium";"oldemanii"
"60178";"kumanti udu";"Aspidosperma";"Indet."
"71968";"kumanti udu";"Ferdinandusa";"paraensis"
"1";"kusisi";"Conceveiba";"guianensis"
"3994";"kusisi";"Conceveiba";"Indet."
"4935";"kusisi";"Licania";"alba"
"99550";"kusisi";"Theobroma";"subincanum"
"24473";"kwasi tiki";"Casearia";"pitumba"
"58632";"kwasi tiki";"Casearia";"javitensis"
"76501";"kwasi tiki";"Pouteria";"jariensis"
"16391";"kwata bobi";"Swartzia";"guianensis"
"24649";"kwata bobi";"Chrysophyllum";"cuneifolium"
"11160";"kwata kaman";"Parkia";"pendula"
"12006";"lakasi";"Myrciaria";"floribunda"
"16524";"lakasi";"Couepia";"guianensis"
"16699";"lakasi";"Caraipa";"racemosa"
"52362";"lakasi";"Eugenia";"anastomosans"
"54023";"lakasi";"Ferdinandusa";"paraensis"
"2816";"lebi koko";"Chaetocarpus";"schomburgkianus"
"8358";"lebi koko";"Licania";"alba"
"26780";"lebi koko";"Vantanea";"parviflora"
"67632";"lebi koko";"Licania";"Indet."
"70218";"lebi koko";"Heisteria";"densifrons"
"71461";"lebi koko";"Lacunaria";"crenata"
"77847";"lebi koko";"Licania";"sprucei"
"89371";"lebi koko";"Licania";"membranacea"
"24375";"lebi sali";"Talisia";"hexaphylla"
"24435";"lebi sali";"Tetragastris";"panamensis"
"27498";"lebi sali";"Trichilia";"schomburgkii"
"71860";"lebi sali";"Protium";"decandrum"
"3128";"lebi tongo";"Eugenia";"patrisii"
"7366";"lebi tongo";"Maytenus";"oblongata"
"58279";"lebi tongo";"Licania";"alba"
"91676";"lebi tongo";"Indet.";"Indet."
"39374";"maaka";"Minquartia";"guianensis"
"2134";"maho cigare";"Couratari";"multiflora"
"32536";"maho cigare";"Eschweilera";"pedicellata"
"56289";"maho cigare";"Pachira";"dolichocalyx"
"64983";"maho cigare";"Couratari";"guianensis"
