Family;Genus;species;bar_code;plot_code;X;Y;n_lvs;surete;status;bar_code_curr;taxon_code;DBH;Height;ID_arbre;ID_ram;Ht_sample;thickness;SPAD;toughness;dry_mass;traits_surf_area;ind_surf_area;sapwood_dens;moisture;bark_thick;twig_dens;twig_diam;twig_bark_thick;comment
Anacardiaceae;Thyrsodium;guianense;P00610440;P006;57;177;3;5;OK;P00610440;7;21.3;23;2;3;20;244.8000031;63.59999975;2.089999994;0.43233334;;94.5;0.657;;5;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;guianense;P00610524;P006;69;185;3;5;OK;P00610524;7;19.4;21;4;4;15;280.3333333;47.13333384;2.056666652;0.234333336;;55.2;0.6676;;5;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;guianense;P00610609;P006;76;180;3;5;OK;P00610609;7;31.4;28;4;4;20;237.1333313;68.93333435;2.106666644;0.862999996;;190.5;0.6115;;9;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;guianense;P00612503;P006;53;158;3;5;OK;P00612503;7;13.2;14;4;3;12;258.9999949;58.66666667;1.516666651;0.265333325;;62.2;0.7156;;2;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;A110197;A11;42;3;3;5;OK;A110197;8;40;32;5;5;25;238.100001;52.46666718;1.733333349;0.82766666;;200.6;0.52;0.78;7;0.621192753;12.4172;0.6954029;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;B427038;B4;44;76;3;5;OK;B427038;8;11.3;;2;3;12;254.4666646;59.23333359;2.266666651;2.796000004;;815.6;0.5;0.7;2;0.437;12.6512;1.699;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;B436022;B4;60;53;3;5;OK;B436022;8;26.4;;2;3;20;230.899999;53.26666641;1.909999967;0.631333331;;177.9;0.48;0.76;4;0.502;14.0182;2.268;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;B444036;B4;84;63;3;5;OK;B444036;8;21;26;4;4;26;270.2333374;53.40000153;1.76333336;1.04733336;;223.6;0.52;0.7;4;0.571;12.2841;2.19;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;LV109055;LV1;101.8;38.8;3;5;OK;LV109055;8;21.33757962;24;2;1;19;;61.29999924;2.636666616;1.932666699;170.2569987;;0.51468;0.586;6;0.4390824;15.187;2.03179918;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;LV109080;LV1;125.4;27.8;3;4;OK;LV109080;8;26.11464968;27;4;4;25;270.3333333;51.10000102;2.296666622;1.252666672;106.0420329;;0.51186;0.672;8.8;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;M17116024;M1711;24;13;3;5;OK;M17116024;8;18.7;18;2;3;17;159.899999;31.23333359;1.343333364;0.326333344;;136.7;;;3;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;M17116075;M1711;4;56;3;5;OK;M17116075;8;10.2;12;2;1;12;248;53.43333181;2.883333325;1.506333351;;387;;;2;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;M17116114;M1711;3;90;3;5;OK;M17116114;8;11.1;11;2;2;8;172.2333323;37.90000025;2.050000032;1.113666654;;510.7;0.5336;0.6124;3;0.53;15.711;1.9855;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;M17116127;M1711;19;96;0;0;MORT;M17116127;8;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;M17116131;M1711;20;98;0;0;MORT;M17116131;8;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;M17116436;M1711;40;80;3;5;OK;M17116436;8;17.8;16;3;3;16;248.9999949;51.5;2.030000051;1.504666646;;353.9;0.4207;0.59;4;0.482;16.774;2.209;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;M17116478;M1711;34;48;3;5;OK;M17116478;8;31.2;23;4;4;22;216.2333323;50.9666659;1.75999999;0.827000002;;233.6;;;4;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;M17116544;M1711;64;17;3;5;OK;M17116544;8;41.7;25;4;4;25;253.0999959;45.16666667;2.119999965;1.126666665;;285.8;;;5.5;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;M17116573;M1711;59;29;3;5;OK;M17116573;8;10;7;2;2;4;268.5666707;59.6666654;2.543333371;3.492666721;;865;;;1;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;M17116574;M1711;55;31;3;5;OK;M17116574;8;11.8;11;2;2;11;181.4333344;50.66666794;1.706666668;0.663333337;;251.6;;;1;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;M17116611;M1711;51;66;3;5;OK;M17116611;8;12.7;16;1;1;10;184.6666667;50.13333257;1.803333362;0.846666654;;282.7;0.4785;0.6313;1;0.46;11.479;1.6375;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;M17116904;M1711;94;42;3;5;OK;M17116904;8;36;25;4;3;25;233.8666687;56.93333308;2.163333337;1.539333344;;416.7;;;6;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;M17118965;M1711;95;91;3;5;OK;M17118965;8;10.8;16;2;2;13;253.3333282;54.66666667;3.209999959;1.581333319;;363.7;0.4889;0.7146;;0.499;13.931;1.8875;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;NH200498;NH20;95;315;3;5;OK;NH200498;8;27.3;26;3;3;26;267.4333293;53;1.543333332;1.480666637;;316;0.5163;0.6955;5;0.461;11.8805;1.779;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;NL110237;NL11;140;79;3;5;OK;NL110237;8;31.4;;5;5;25;239.6666718;45.5;1.733333349;1.219000002;;352.1;0.5621;0.7759;6;0.449;13.907;1.5805;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;NL110616;NL11;156;65;3;5;OK;NL110616;8;10.987;12;;1;;140.200002;37.83333333;1.056666652;0.370666653;;251.9;;;;0.363;;;DBH estimated
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;P01860298;P018;97;37;3;5;OK;P01860497;8;10.5;13;;;;234.4333344;47.9666659;1.983333349;1.112999996;;442.2;0.5942;;2;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;T10008;T1;106;23.5;0;0;MORT;T10008;8;;;;;;;;;;;;;;;;;;est
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;Thyrsodium;puberulum;T10363;T1;29;42;3;5;OK;T10363;8;16.9;23;1;1;12;226.6666667;63.99999873;1.836666663;1.432666699;164.0876643;;0.53494;0.7754;2.9;0.475976398;11.2838;1.53637482;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anacardiaceae;IND;sp. B1;M17119801;M1711;36;21;3;4;OK;M17119801;3;10.5;14;1;2;14;184.8666687;49.9666659;1.026666661;0.836999993;;301.5;0.4614;0.7487;2;0.434;15.3615;1.88;GENET?
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Annona;prevostiae;A110112;A11;29;95;3;5;OK;A110112;633;14.8;21;3;3;20;234.200002;55.13333384;1.366666635;0.828333338;;306;0.28;0.56;2;0.364395261;12.4613;1.19564244;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Duguetia;calycina;B430051;B4;32;0;3;5;OK;B430051;10;11.4;13;;;;282.0999959;56.46666718;2.230000019;0.844333331;;269.6;0.59;0.72;5;0.569;11.7872;3.664;DI not recorded
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Duguetia;calycina;B430052;B4;38;0;3;5;OK;B430052;10;14.3;13;1;1;7;233.7666677;38.23333295;2.049999992;0.64533334;;273.1;0.67;0.5;3;0.559;7.05378;2.452;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Duguetia;calycina;B430061;B4;49;1;3;5;OK;B430061;10;12.9;16;1;1;5;242.7666677;46.23333232;1.636666695;0.534333338;;240.9;;;4;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Duguetia;calycina;B438047;B4;52;2;3;5;OK;B438047;10;11;14;1;1;10;231.2333323;45.36666616;1.99666667;0.676666677;;257.9;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Duguetia;calycina;M17116565;M1711;65;32;3;5;OK;M17116565;10;14.3;16;2;2;15;224.7666677;33.60000038;1.966666659;0.501999994;;252.6;0.6983;0.4205;1;0.627;10.7575;3.3605;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Duguetia;calycina;P00610117;P006;15;188;3;5;OK;P00610117;10;10.7;13;1;1;8;250.5666707;51.36666616;2.006666621;0.312333331;;112.9;0.7286;;6;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Duguetia;calycina;P00610657;P006;88;146;3;5;OK;P00610657;10;12.1;16;1;1;6;234.3333384;55.53333282;2.263333321;0.280666669;;102.5;0.6734;;6;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Duguetia;surinamensis;NH200001;NH20;5;303;3;5;OK;NH200001;11;14.9;19;3;3;17;170.4333344;53.36666743;1.546666662;0.305333331;;105.7;;;;;;;This sample should be deposited for voucher but cannot be found at CAY.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Duguetia;surinamensis;NH200152;NH20;34;312;3;5;OK;NH200152;11;13;13;2;1;11;159.5666656;53.16666667;1.543333332;0.234666665;;96;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Duguetia;surinamensis;NH200288;NH20;53;374;3;5;OK;NH200288;11;25.8;20;3;2;20;177.5666656;45.9666659;2.056666613;0.321333329;;114.2;0.8143;0.4129;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Duguetia;surinamensis;NH200303;NH20;61;312;3;5;OK;NH200303;11;14.6;12;2;2;12;154.100001;45;1.393333316;0.193333328;;83;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Duguetia;surinamensis;NH200334;NH20;65;372;3;5;OK;NH200334;11;15.3;17;1;1;17;144.6333364;52.03333282;1.546666662;0.27366667;;79;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Duguetia;surinamensis;NH200349;NH20;62;391;3;5;OK;NH200349;11;16.7;12;2;2;10;159.4333344;42.56666565;1.726666649;0.332333326;;144.3;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Duguetia;surinamensis;NH200473;NH20;85;376;3;5;OK;NH200473;11;21.3;18;3;2;15;177.3333333;51.59999975;1.546666662;0.434333334;;173.6;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Duguetia;surinamensis;NH200542;NH20;93;387;3;5;OK;NH200542;11;13.6;15;3;3;15;176.2333323;50.80000051;1.583333333;0.287999998;;108.9;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Duguetia;surinamensis;NL110001;NL11;108;0;3;5;OK;NL110001;11;19.5;23;2;2;15;191;45.63333257;1.686666648;0.408333331;;177.6;0.7074;0.5655;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Duguetia;surinamensis;NL110097;NL11;114;58;3;5;OK;NL110097;11;27.6;23;3;3;23;173.899999;42.06666756;1.713333289;0.225000004;;77.1;0.7148;0.6009;4;0.548;13.693;4.1005;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Duguetia;surinamensis;NL110246;NL11;140;97;3;5;OK;NL110246;11;11.2;17;1;1;11;167.3666636;44.1666654;1.729999979;0.410999993;;165.1;0.7503;0.5209;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Duguetia;surinamensis;NL110496;NL11;184;75;3;5;OK;NL110496;11;22.5;26;3;3;20;201.3333333;55.59999975;2.046666702;0.660666674;;190.7;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Fusaea;longifolia;A110273;A11;64;82;3;5;OK;A110273;12;10.8;13;1;1;7;173.899999;45.9666659;1.320000013;0.401000003;;164.7;0.63;0.64;3;0.565105796;10.9205;1.44097344;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Fusaea;longifolia;A110319;A11;71;28;3;5;OK;A110319;12;12.4;16;2;2;16;209;52.93333308;2.00999999;1.341666659;;397.6;0.7;0.56;2;0.484116554;9.70875;1.22712232;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Fusaea;longifolia;A110392;A11;85;32;3;5;OK;A110392;12;11.3;21;2;1;15;165.0666656;46.36666616;1.793333292;0.723333339;;263.5;0.66;0.43;4;0.577432513;9.14125;1.24559055;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Fusaea;longifolia;NH200249;NH20;55;312;3;5;OK;NH200249;12;31.7;27;4;4;22;207.3333333;61.93333435;1.599999984;0.50333334;;94;0.5512;0.7667;7;0.363;13.687;2.601;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Fusaea;longifolia;NH200642;NH20;26;343;3;5;OK;NH200642;12;13;19;3;3;16;176.4666646;58.29999924;1.369999965;0.804333329;;252.7;0.4386;0.9862;2;0.418;8.8755;2.3;ech manquant : ok avec scan + genet
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Fusaea;longifolia;NL110220;NL11;140;50;3;5;OK;NL110220;12;15.5;13;4;4;13;257.6333313;66.36666616;1.450000008;0.638333321;;151.8;0.5101;0.9347;5;0.423;10.888;2.1885;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Fusaea;longifolia;NL110414;NL11;179;17;3;5;OK;NL110414;12;10.1;7;2;2;7;194.2333323;36.09999975;1.620000005;0.815666676;;298.6;0.6241;0.7194;3;0.585;12.0615;2.812;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Fusaea;longifolia;T10035;T1;104;98.5;3;5;OK;T10035;12;18.1;15;3;2;10;220;56.66666667;1.75999999;0.776000003;89.41800181;;0.63014;0.6007;5.1;0.603209668;17.2194;3.41225189;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Fusaea;longifolia;T10106;T1;88.5;19.5;3;5;OK;T10106;12;11;13;1;1;5;183.3333333;50.19999949;1.279999971;0.340333338;49.67553329;;0.64103;0.6566;4.6;0.524265842;8.82114;2.49699942;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Fusaea;longifolia;T10288;T1;41.5;81;3;5;OK;T10288;12;11;15;2;2;12;233.3333333;58.06666692;2.036666671;1.055666665;130.7213313;;;;4;0.522028154;8.50826;2.07187844;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Fusaea;longifolia;T12003;T1;65.5;87;3;5;OK;T12003;12;10.5;12;1;1;12;193.3333333;53.40000025;1.409999967;0.540000002;79.51723353;;0.60096;0.8612;3.4;0.510075856;11.9147;3.88013024;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Guatteria;anthracina;NH200044;NH20;3;388;3;4;OK;NH200044;13;33.1;28;4;4;25;278.6666667;62.79999924;1.666666667;0.409333328;;110.1;0.4607;0.9565;7;0.454;9.973;2.288;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Guatteria;brevicuspis;LV109390;LV1;163.2;24;3;4;OK;LV109390;827;22.22929936;24;3;3;24;275;62.26666768;2.116666635;0.63499999;44.6419665;;;;;0.450449769;12.1694;3.20054623;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Guatteria;brevicuspis;LV109434;LV1;178.6;22.9;3;4;OK;LV109434;827;16.71974522;17;1;1;16;263.6666667;65.03333282;2.633333286;1.686333378;143.3187968;;;;;0.386463228;13.2478;3.17708181;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annonaceae;Guatteria;brevicuspis;LV109510;LV1;198.7;82;3;4;OK;LV109510;827;17.67515924;23;2;3;20;313.3333333;54.79999924;2.293333371;1.763666689;169.5155373;;;;;0.378471778;9.53938;2.99566336;
